"","dataset","provider","group","year","cntry","npts","clusterID","provider_col","npts_gp","npts_class","npts_cex","recent","X","Y","recs"
"1","Argyll Biological Records Dataset","Argyll Biological Records Centre",7,2014,"Scotland",1,"461","#a6cee3","[0,2)","1",7,0.3,-5.557334,56.038,"(1 record)"
"2","Argyll Biological Records Dataset","Argyll Biological Records Centre",2,2018,"Scotland",1,"179","#a6cee3","[0,2)","1",7,0.5,-5.543785,56.065364,"(1 record)"
"3","Argyll Biological Records Dataset","Argyll Biological Records Centre",22,2015,"Scotland",1,"206","#a6cee3","[0,2)","1",7,0.3,-5.557334,56.038,"(1 record)"
"4","Argyll Biological Records Dataset","Argyll Biological Records Centre",4063,2021,"Scotland",1,"340","#a6cee3","[0,2)","1",7,1,-5.574182,56.046504,"(1 record)"
"5","Argyll Biological Records Dataset","Argyll Biological Records Centre",1,2013,"Scotland",2,"3","#a6cee3","[2,5)","[2,5)",14,0.3,-5.557334,56.038,"(2 records)"
"6","Argyll Biological Records Dataset","Argyll Biological Records Centre",1,2012,"Scotland",1,"2","#a6cee3","[0,2)","1",7,0.3,-5.558987,56.055935,"(1 record)"
"7","Argyll Biological Records Dataset","Argyll Biological Records Centre",3,2022,"Scotland",1,"271","#a6cee3","[0,2)","1",7,1,-5.548176,56.063304,"(1 record)"
"8","Argyll Biological Records Dataset","Argyll Biological Records Centre",235,2012,"Scotland",1,"225","#a6cee3","[0,2)","1",7,0.3,-5.557334,56.038,"(1 record)"
"9","Argyll Biological Records Dataset","Argyll Biological Records Centre",1,2009,"Scotland",2,"1","#a6cee3","[2,5)","[2,5)",14,0.3,-5.543785,56.065364,"(2 records)"
"10","NBMP Sunset-Sunrise Survey","Bat Conservation Trust",104,2021,"Scotland",1,"42","#1f78b4","[0,2)","1",7,1,-3.780208,56.148348,"(1 record)"
"11","Montgomeryshire Wildlife Trust records held by BIS","BIS for Powys & Brecon Beacons National Park",1284,2021,"Wales",1,"84","#a6cee3","[0,2)","1",7,1,-3.84447,52.538469,"(1 record)"
"12","Non-avian taxa (BTO+partners)","British Trust for Ornithology",43,2018,"England",1,"353","#a6cee3","[0,2)","1",7,0.5,-3.103824,50.915739,"(1 record)"
"13","Non-avian taxa (BTO+partners)","British Trust for Ornithology",2,2019,"England",1,"180","#a6cee3","[0,2)","1",7,0.6,-3.30959,50.64382,"(1 record)"
"14","Non-avian taxa (BTO+partners)","British Trust for Ornithology",30,2019,"England",1,"282","#a6cee3","[0,2)","1",7,0.6,1.358956,51.250426,"(1 record)"
"15","Non-avian taxa (BTO+partners)","British Trust for Ornithology",16,2019,"Scotland",1,"129","#b2df8a","[0,2)","1",7,0.6,-4.314881,56.472006,"(1 record)"
"16","Non-avian taxa (BTO+partners)","British Trust for Ornithology",11,2019,"Scotland",3,"55","#b2df8a","[2,5)","[2,5)",14,0.6,-3.26134775740784,56.6466600690555,"(3 records)"
"17","Non-avian taxa (BTO+partners)","British Trust for Ornithology",8,2018,"Scotland",8,"495","#b2df8a","[5,50)","[5,50)",21,0.5,-3.555978,56.573691,"(8 records)"
"18","Non-avian taxa (BTO+partners)","British Trust for Ornithology",13,2019,"Scotland",3,"86","#b2df8a","[2,5)","[2,5)",14,0.6,-3.555978,56.573691,"(3 records)"
"19","Invertebrate surveys of various ponds in Scotland between 2010 and 2015","Buglife",74,2013,"Scotland",1,"478","#33a02c","[0,2)","1",7,0.3,-3.171531,56.680071,"(1 record)"
"20","CEDaR Online Recording","Centre for Environmental Data and Recording",4,2018,"Scotland",1,"325","#fb9a99","[0,2)","1",7,0.5,-3.096463,56.443824,"(1 record)"
"21","Miscellaneous records held on the Cofnod database","Cofnod – North Wales Environmental Information Service",40,2015,"Wales",1,"334","#1f78b4","[0,2)","1",7,0.3,-3.84447,52.538469,"(1 record)"
"22","NRW Regional Data: North Wales","Cofnod – North Wales Environmental Information Service",30,2016,"Wales",1,"283","#1f78b4","[0,2)","1",7,0.3,-3.876632,52.582064,"(1 record)"
"23","NRW Regional Data: North Wales","Cofnod – North Wales Environmental Information Service",36,2018,"Wales",3,"314","#1f78b4","[2,5)","[2,5)",14,0.5,-3.86340191778975,52.5920291014918,"(3 records)"
"24","Protected and Invasive Species Records Collected Through Environment Agency Survey 1995 - 2021","Environment Agency",3,2016,"England",23,"272","#1f78b4","[5,50)","[5,50)",21,0.3,-3.30271363423324,50.7897628952729,"(23 records)"
"25","Protected and Invasive Species Records Collected Through Environment Agency Survey 1995 - 2021","Environment Agency",63,2017,"England",33,"440","#1f78b4","[5,50)","[5,50)",21,0.5,-3.31293658406765,50.8190294270168,"(33 records)"
"26","Protected and Invasive Species Records Collected Through Environment Agency Survey 1995 - 2021","Environment Agency",30,2019,"England",1,"284","#1f78b4","[0,2)","1",7,0.6,1.364711,51.245808,"(1 record)"
"27","Protected and Invasive Species Records Collected Through Environment Agency Survey 1995 - 2021","Environment Agency",33,2019,"England",1,"301","#1f78b4","[0,2)","1",7,0.6,1.405062,51.326316,"(1 record)"
"28","Fife Nature Records Centre combined dataset","Fife Nature Records Centre",7,2015,"Scotland",1,"462","#e31a1c","[0,2)","1",7,0.3,-2.631033,56.2539,"(1 record)"
"29","Glasgow Museums BRC: Mammals","Glasgow Museums Biological Records Centre",1,1874,"Scotland",1,"4","#fdbf6f","[0,2)","1",7,0.3,-5.020297,55.792984,"(1 record)"
"30","National Mammal Atlas Project, online recording","Mammal Society",2,2014,"England",1,"181","#b2df8a","[0,2)","1",7,0.3,-3.2852,50.7354,"(1 record)"
"31","National Mammal Atlas Project, online recording","Mammal Society",3,2014,"England",1,"273","#b2df8a","[0,2)","1",7,0.3,-3.29849999999999,50.6652,"(1 record)"
"32","National Mammal Atlas Project, online recording","Mammal Society",4,2014,"England",2,"326","#b2df8a","[2,5)","[2,5)",14,0.3,-1.929123,51.653769,"(2 records)"
"33","National Mammal Atlas Project, online recording","Mammal Society",23,2015,"England",1,"221","#b2df8a","[0,2)","1",7,0.3,-1.97410000000001,51.6392,"(1 record)"
"34","National Mammal Atlas Project, online recording","Mammal Society",16,2023,"England",1,"140","#b2df8a","[0,2)","1",7,1,-2.093039,51.582272,"(1 record)"
"35","National Mammal Atlas Project, online recording","Mammal Society",2,2016,"England",2,"183","#b2df8a","[2,5)","[2,5)",14,0.3,1.3504309161614,51.2388310745456,"(2 records)"
"36","National Mammal Atlas Project, online recording","Mammal Society",54,2016,"England",1,"409","#b2df8a","[0,2)","1",7,0.3,-3.29803187999999,50.66593093,"(1 record)"
"37","National Mammal Atlas Project, online recording","Mammal Society",1141,2020,"England",2,"62","#b2df8a","[2,5)","[2,5)",14,0.7,1.16994801406547,51.3067510697094,"(2 records)"
"38","National Mammal Atlas Project, online recording","Mammal Society",2886,2017,"England",1,"268","#b2df8a","[0,2)","1",7,0.5,-4.339384,50.731122,"(1 record)"
"39","National Mammal Atlas Project, online recording","Mammal Society",3034,2017,"England",1,"286","#b2df8a","[0,2)","1",7,0.5,-3.29640000000001,50.6678,"(1 record)"
"40","National Mammal Atlas Project, online recording","Mammal Society",2,2021,"England",3,"187","#b2df8a","[2,5)","[2,5)",14,1,1.14926663718267,51.3003000417967,"(3 records)"
"41","Mammal Mapper App Sighting Records","Mammal Society",11,2018,"England",1,"56","#b2df8a","[0,2)","1",7,0.5,-3.074744,50.743123,"(1 record)"
"42","Mammal Mapper App Sighting Records","Mammal Society",71,2018,"England",1,"475","#b2df8a","[0,2)","1",7,0.5,-0.112666,50.857188,"(1 record)"
"43","National Mammal Atlas Project, online recording","Mammal Society",16,2018,"England",1,"135","#b2df8a","[0,2)","1",7,0.5,-4.94699999999999,50.3245,"(1 record)"
"44","National Mammal Atlas Project, online recording","Mammal Society",3383,2021,"England",1,"306","#b2df8a","[0,2)","1",7,1,1.217931,51.321358,"(1 record)"
"45","Mammal Mapper App Sighting Records","Mammal Society",27,2022,"England",1,"254","#b2df8a","[0,2)","1",7,1,-2.165637,53.074116,"(1 record)"
"46","Mammal Mapper App Sighting Records","Mammal Society",35,2022,"England",1,"311","#b2df8a","[0,2)","1",7,1,1.140583,51.305965,"(1 record)"
"47","Mammal Mapper App Sighting Records","Mammal Society",58,2022,"England",1,"420","#b2df8a","[0,2)","1",7,1,-2.130766,51.401957,"(1 record)"
"48","National Mammal Atlas Project, online recording","Mammal Society",2,2019,"England",1,"185","#b2df8a","[0,2)","1",7,0.6,-3.30601,50.65596,"(1 record)"
"49","National Mammal Atlas Project, online recording","Mammal Society",12,2020,"England",3,"71","#b2df8a","[2,5)","[2,5)",14,0.7,1.576786,51.194489,"(3 records)"
"50","National Mammal Atlas Project, online recording","Mammal Society",17,2022,"England",9,"148","#b2df8a","[5,50)","[5,50)",21,1,-1.85735044658721,52.9784901601088,"(9 records)"
"51","National Mammal Atlas Project, online recording","Mammal Society",2411,2020,"England",1,"236","#b2df8a","[0,2)","1",7,0.7,-2.108915,51.280591,"(1 record)"
"52","Mammal Mapper App Sighting Records","Mammal Society",5139,2021,"England",1,"401","#b2df8a","[0,2)","1",7,1,-1.97488,51.641514,"(1 record)"
"53","National Mammal Atlas Project, online recording","Mammal Society",35,2022,"England",2,"311","#b2df8a","[2,5)","[2,5)",14,1,1.14822728961793,51.3000210326141,"(2 records)"
"54","National Mammal Atlas Project, online recording","Mammal Society",1186,2021,"England",1,"66","#b2df8a","[0,2)","1",7,1,1.576786,51.194489,"(1 record)"
"55","National Mammal Atlas Project, online recording","Mammal Society",2730,2021,"England",1,"257","#b2df8a","[0,2)","1",7,1,-3.296814,50.667795,"(1 record)"
"56","National Mammal Atlas Project, online recording","Mammal Society",3127,2021,"England",1,"295","#b2df8a","[0,2)","1",7,1,-2.272909,51.191528,"(1 record)"
"57","National Mammal Atlas Project, online recording","Mammal Society",86,2022,"England",1,"514","#b2df8a","[0,2)","1",7,1,-2.14120000000001,52.65994,"(1 record)"
"58","Mammal Mapper App Sighting Records","Mammal Society",1,2023,"England",1,"16","#b2df8a","[0,2)","1",7,1,1.140583,51.305965,"(1 record)"
"59","Mammal Mapper App Sighting Records","Mammal Society",2,2023,"England",5,"189","#b2df8a","[5,50)","[5,50)",21,1,1.21780950854633,51.3158595100503,"(5 records)"
"60","National Mammal Atlas Project, online recording","Mammal Society",1,2023,"England",2,"16","#b2df8a","[2,5)","[2,5)",14,1,1.16904929171914,51.3053934841481,"(2 records)"
"61","Mammal Mapper App Sighting Records","Mammal Society",147,2022,"England",1,"113","#b2df8a","[0,2)","1",7,1,-4.311954,50.749657,"(1 record)"
"62","National Mammal Atlas Project, online recording","Mammal Society",16,2022,"England",1,"139","#b2df8a","[0,2)","1",7,1,-2.07208289999999,52.9407112,"(1 record)"
"63","National Mammal Atlas Project, online recording","Mammal Society",40,2022,"England",1,"336","#b2df8a","[0,2)","1",7,1,1.35643,51.23226,"(1 record)"
"64","National Mammal Atlas Project, online recording","Mammal Society",27,2022,"England",2,"254","#b2df8a","[2,5)","[2,5)",14,1,-2.1989020036917,53.0628176009517,"(2 records)"
